# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
# offset = 0.00000000000000, scaling c = 1.87630782746791, Chi^2 = 3.22884087725121
#  q       exp_intensity   model_intensity error
0.27400002 81132.28906250  74806.83193440  3681.37792969
0.27500001 79578.44531250  73649.86827894  3624.00244141
0.27600002 78040.98437500  72563.63996271  4215.38427734
0.27700001 76527.28125000  71445.76361055  3829.42529297
0.27800003 75035.09375000  70331.74981396  3454.24096680
0.27900001 73565.21875000  69254.35333731  3707.68725586
0.28000000 72119.37500000  68212.61403871  5167.71386719
0.28100002 70697.79687500  67143.82219249  3887.67211914
0.28200001 69300.46093750  66141.29479575  4412.70703125
0.28300002 67928.17187500  65120.30482317  3472.48852539
0.28400001 66581.32031250  64108.76235366  3130.98657227
0.28500003 65260.35546875  63131.63840587  3919.53735352
0.28600001 63963.45703125  62182.93026061  4405.80322266
0.28700000 62697.18359375  61219.55979578  4333.62939453
0.28800002 61457.37890625  60323.20870116  3463.43090820
0.28900000 60246.42968750  59431.68763334  3406.93554688
0.29000002 59062.30078125  58554.23154489  3093.68359375
0.29100001 57908.05078125  57707.54763774  4311.83349609
0.29200003 56782.17187500  56868.37262657  3493.80737305
0.29300001 55686.02734375  56061.09484847  2946.90478516
0.29400000 54618.59375000  55247.96093773  2416.87280273
0.29500002 53580.86718750  54490.74979544  3092.68774414
0.29600000 52573.29296875  53721.84837587  2810.56835938
0.29700002 51595.16406250  52991.03747107  2767.56469727
0.29800001 50647.07812500  52297.92862667  2271.52148438
0.29900002 49730.44921875  51587.22939639  3356.80566406
0.30000001 48843.30859375  50923.06773075  2205.27539062
0.30100003 47988.37890625  50296.38824571  3478.19799805
0.30200002 47162.71484375  49658.54253029  2572.25463867
0.30300000 46368.44140625  49053.22070543  2748.72119141
0.30400002 45604.96484375  48481.43055367  2503.71264648
0.30500001 44869.69531250  47900.61433515  2471.42285156
0.30600002 44166.23828125  47371.06309748  2847.39770508
0.30700001 43494.92968750  46864.70918120  2813.25219727
0.30800003 42850.93359375  46333.08374386  2184.75512695
0.30900002 42238.83593750  45875.32693324  1964.10595703
0.31000000 41656.32031250  45445.65244075  2720.57421875
0.31100002 41100.34375000  44989.17093311  2308.19555664
0.31200001 40577.99218750  44555.85010021  2667.19140625
0.31300002 40082.66796875  44180.92568378  2265.47265625
0.31400001 39618.65234375  43805.97927937  2433.57568359
0.31500003 39182.01171875  43426.49602127  2414.39575195
0.31600001 38773.30078125  43118.42240052  2212.40454102
0.31700000 38393.56250000  42794.77395893  2563.92211914
0.31800002 38040.64843750  42493.52760670  2002.26965332
0.31900001 37716.87890625  42212.65678479  1991.45129395
0.32000002 37418.76171875  41963.08585575  2342.22753906
0.32100001 37147.02734375  41720.53275775  1794.20141602
0.32200003 36903.35937500  41516.66385004  2503.15502930
0.32300001 36683.78125000  41299.93930197  2317.68139648
0.32400000 36487.50390625  41119.37399089  2490.27221680
0.32500002 36317.85546875  40952.06743316  2131.13183594
0.32600001 36173.34375000  40768.26622401  2484.02343750
0.32700002 36052.39062500  40668.68265193  2483.28881836
0.32800001 35956.82031250  40537.09190688  1951.91601562
0.32900003 35881.25390625  40437.61827471  3019.40771484
0.33000001 35829.86718750  40336.85834558  2312.63891602
0.33100003 35798.23828125  40289.79673401  2317.57812500
0.33200002 35792.23828125  40194.70237500  2145.38696289
0.33300000 35803.03906250  40186.03910995  2152.47875977
0.33400002 35836.15625000  40151.64624089  2160.92041016
0.33500001 35888.25781250  40131.45394376  1989.64501953
0.33600003 35960.10937500  40131.69214690  2363.11865234
0.33700001 36047.18359375  40147.82033196  2193.11083984
0.33800003 36155.33984375  40156.66316553  2390.04882812
0.33900002 36279.15234375  40201.16684181  2405.30786133
0.34000000 36421.31250000  40245.24175244  2608.13012695
0.34100002 36579.03515625  40293.18288330  2251.80541992
0.34200001 36753.95312500  40372.20036255  2080.09008789
0.34300002 36942.53125000  40469.34326858  2096.85815430
0.34400001 37146.55468750  40571.99049953  2691.26806641
0.34500003 37363.30468750  40637.76021942  2908.73339844
0.34600002 37595.93750000  40762.21952886  2152.55541992
0.34700000 37838.28125000  40894.93532568  2172.67407227
0.34800002 38093.86718750  41025.34971368  3589.58520508
0.34900001 38359.74218750  41154.07835637  2618.05249023
0.35000002 38637.97656250  41301.26591024  2441.14746094
0.35100001 38927.71484375  41484.37083329  2466.46020508
0.35200003 39225.03906250  41631.80025496  2700.05566406
0.35300002 39532.59375000  41801.96891506  2309.09887695
0.35400000 39850.17187500  41986.62399086  2970.83032227
0.35500002 40173.81250000  42163.09587256  2359.80981445
0.35600001 40505.94140625  42358.24288061  2386.00244141
0.35700002 40844.45312500  42543.38902135  3948.02514648
0.35800001 41189.86718750  42747.32755768  3105.30419922
0.35900003 41542.48046875  42967.96963126  2691.95288086
0.36000001 41899.80859375  43183.60577420  3403.31201172
0.36100003 42261.28125000  43388.71700292  3671.66040039
0.36200002 42627.38281250  43615.86018995  2553.16723633
0.36300001 42997.23437500  43846.72301067  2817.17895508
0.36400002 43370.42578125  44072.93537312  2611.98413086
0.36500001 43746.36328125  44298.85822714  3122.17797852
0.36600003 44126.27343750  44541.05218809  3400.81225586
0.36700001 44506.56640625  44787.30293179  3439.46752930
0.36800003 44891.25000000  45024.63754865  2733.20410156
0.36900002 45275.00000000  45282.32570784  3015.31518555
0.37000000 45658.44140625  45529.72715595  3049.07080078
0.37100002 46042.78125000  45785.90180901  2826.10595703
0.37200001 46428.29296875  46034.60054808  2597.66308594
0.37300003 46811.37890625  46287.29010595  2888.73046875
0.37400001 47195.11718750  46545.33740218  3451.14306641
0.37500003 47575.10156250  46822.26871059  3219.88305664
0.37600002 47955.03515625  47064.62025209  3796.60034180
0.37700000 48333.12500000  47315.61673531  4384.78125000
0.37800002 48708.43359375  47575.38275883  3045.98217773
0.37900001 49082.24218750  47836.11258891  3636.99414062
0.38000003 49452.14453125  48114.51709214  3108.80932617
0.38100001 49817.76562500  48373.51720094  3425.46972656
0.38200003 50181.00781250  48640.90938968  2882.89916992
0.38300002 50538.75390625  48892.46290179  2911.03222656
0.38400000 50894.28906250  49154.03926919  3526.97436523
0.38500002 51243.28125000  49420.20379557  2966.98608398
0.38600001 51589.13671875  49677.20299798  4492.12402344
0.38700002 51926.21093750  49928.77849807  3626.52685547
0.38800001 52260.75781250  50173.71729216  3049.41528320
0.38900003 52589.51562500  50441.06916959  3384.13549805
0.39000002 52914.22265625  50692.78392691  3724.10302734
0.39100003 53231.65234375  50949.91139254  3443.02343750
0.39200002 53542.78515625  51199.65456077  3787.61669922
0.39300001 53848.91406250  51454.15079786  3500.71801758
0.39400002 54148.72265625  51697.09601488  3849.97436523
0.39500001 54439.74218750  51928.22635605  5173.95312500
0.39600003 54725.78906250  52178.29201468  3584.81298828
0.39700001 55003.89062500  52423.89777757  3283.73242188
0.39800003 55277.19531250  52672.06880506  3970.00854492
0.39900002 55541.17187500  52888.34259949  4332.21142578
0.40000001 55796.29687500  53126.04368271  4362.99169922
0.40100002 56046.09765625  53353.15388778  4731.41162109
0.40200001 56289.75781250  53588.74412470  3742.98754883
0.40300003 56524.33984375  53803.58503561  4795.52539062
0.40400001 56752.24218750  54016.97840435  4137.23876953
0.40500003 56972.20703125  54239.35386387  4163.52929688
0.40600002 57185.68359375  54454.31570869  4887.66064453
0.40700001 57390.99218750  54667.90696926  5268.49316406
0.40800002 57588.13671875  54860.55467665  4946.24511719
0.40900001 57778.02734375  55080.81562521  4619.35351562
0.41000003 57960.48437500  55267.66583458  5002.56982422
0.41100001 58134.26562500  55468.31350288  3592.69775391
0.41200003 58300.89843750  55655.52284930  3611.74096680
0.41300002 58456.87109375  55834.03594870  3993.18896484
0.41400003 58608.08593750  56023.50639264  5837.36572266
0.41500002 58752.25000000  56194.04884843  4765.98291016
0.41600001 58886.85156250  56374.51521359  5156.72167969
0.41700003 59015.08984375  56538.71047182  4440.29541016
0.41800001 59137.78515625  56712.82231008  3716.80981445
0.41900003 59249.34765625  56877.62590248  3732.70922852
0.42000002 59355.18359375  57030.78319356  4123.10791016
0.42100003 59455.05859375  57192.29225327  5645.25830078
0.42200002 59546.46484375  57334.02312286  4533.86816406
0.42300001 59629.68750000  57472.93586604  4171.69287109
0.42400002 59706.72656250  57619.22557730  4186.93457031
0.42500001 59773.95703125  57736.45450521  3819.55590820
0.42600003 59836.23828125  57870.79374806  4982.26464844
0.42700002 59892.54296875  58000.61446054  4229.61132812
0.42800003 59941.62500000  58128.08612357  5014.41699219
0.42900002 59984.87500000  58236.53451720  5416.63427734
0.43000001 60020.97656250  58345.02322213  4656.42724609
0.43100002 60049.10546875  58439.68515082  6225.89160156
0.43200001 60073.01171875  58546.39649384  4682.09082031
0.43300003 60089.25781250  58637.55133935  4302.99218750
0.43400002 60099.63281250  58729.00668729  5097.95166016
0.43500003 60103.91406250  58822.62418682  3930.79638672
0.43600002 60104.08203125  58889.81213156  3939.82275391
0.43700001 60097.02343750  58970.79387057  4343.21191406
0.43800002 60080.52734375  59038.72940671  4747.56347656
0.43900001 60063.03125000  59106.22884787  4756.99218750
0.44000003 60038.88281250  59162.07465839  4368.72949219
0.44100001 60009.76953125  59209.21322789  5570.10693359
0.44200003 59976.57031250  59272.19047401  4383.98779297
0.44300002 59938.32421875  59309.91085774  4391.08203125
0.44400004 59894.40625000  59357.29862437  4397.74707031
0.44500002 59844.41015625  59388.05614702  4403.95019531
0.44600001 59791.43750000  59412.02304779  4009.01586914
0.44700003 59733.88281250  59436.07423582  4415.52880859
0.44800001 59671.13281250  59466.55324402  4420.73583984
0.44900003 59605.47656250  59481.16059363  5632.71777344
0.45000002 59535.68750000  59481.82389777  7249.66113281
